,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
2871653,Kar98k,Xingwuwei,1.0,401234.5,433045.3,MIRAMAR,2U4GBNA0YmklSBpt3ZMXt45FWdAZ2qQl2c98r4b3avJa-UuQFDvujpCyu6Jba_AS,1829,MyBrotherDaryl,2.0,397577.3,430107.9
2874728,UMP9,uanuglyfool,1.0,346190.8,490433.9,MIRAMAR,2U4GBNA0YmkT230FvqaIQ7VYi_Y30ETCxGB_BS-gykfNjBXypZcvnO4Q_S_9Uli2,1991,hanyu0507,2.0,346126.1,490392.6
2875036,M416,GLoveL,1.0,341357.0,426133.2,MIRAMAR,2U4GBNA0YmnhFHfHCkxYQg2GPGo4luICnBXlhj3MjHTDFZsDcpOreL_dJBmgablF,1879,YaBoiBillNye420,2.0,341508.7,421298.2
2876639,M416,Brneetqs,1.0,500455.3,426576.9,MIRAMAR,2U4GBNA0YmnqfBF0MOwX5EtjlximLsxwR1JLQd4LY_W8-oHnwBAOX2lUsChaAMSg,1923,Deryck123,2.0,499316.8,420559.6
2877078,Groza,IY-YI,1.0,341648.8,646567.4,MIRAMAR,2U4GBNA0YmlVcd4hOTGs15SQn3XOtfxbs6L-7Hkgjvc7dV1D-yemE916FWNDjWNb,1933,tq970302,2.0,341690.3,647063.4
2877485,Grenade,Katalystbomb,1.0,323588.7,291195.3,MIRAMAR,2U4GBNA0YmmEPLzulL__BgvTO5nOLgkSy1Dsx0sotzbvp85xEMqjHRskeZU0vREU,1823,b0xerb3ast,2.0,327195.4,283815.3
2877646,M416,Hy-YangGeGe,1.0,462191.0,158161.5,MIRAMAR,2U4GBNA0YmkXB2J0kZ7gZcQJan9c7sDFZezfvx0lTn0rXM9I-hVfvyVJGVAnyFro,1818,NEVERMORE_chen,2.0,469025.2,160795.2
2885741,AKM,YouAerMyLoveLife,1.0,595812.3,336763.6,MIRAMAR,2U4GBNA0YmnF_Hi9IOoFbwfrL9Y0hDuEfxPTcpQqhOW2mvktX542ZkizUrFUN0Py,1792,FKNMBM,2.0,595891.3,335167.8
2888589,SCAR-L,Tom-zhutoa,1.0,436080.8,205191.0,MIRAMAR,2U4GBNA0Ymnk1_Vo8P04zfh85_KDcSWSHkFJBzbfVzrkzMjp8rNiV4JpdHWXEctH,1923,SgtRaven,2.0,435301.9,202546.2
2889427,M416,JiangqingShou,1.0,197340.7,408283.8,MIRAMAR,2U4GBNA0Ymk7lEXLHzKmpiWAGh9k82vX3kDKzsTXy8A5CtbzBXn2E7GsZ2xPG6GV,2023,Dan-LC,2.0,197426.8,409075.1
2889746,AKM,King_xyi,1.0,626107.9,245219.5,MIRAMAR,2U4GBNA0YmkDmdwjY8Ill27CrWqctJ-uPTKdT3asX2egDoszgMaGAp0bu9qe2Tz5,2128,geartpark181818,2.0,625863.4,245544.7
2892663,SCAR-L,CDS-9527,1.0,438320.3,422638.9,MIRAMAR,2U4GBNA0YmlpLjFDYvNW_BhhBTCfhuYrOURvwSwKIXNTeWtELTxehr_Rn6GwbkGk,1893,aabbccnibaba,2.0,436026.6,423594.7
2896646,UMP9,TheArkMan,1.0,281780.8,548645.6,MIRAMAR,2U4GBNA0YmmRb9ZPv3EUdkrk_raFLl_UPWwQSbIlurxQmCZczRXKwkad58h22xrj,1988,J-Guy,2.0,281054.8,549001.1
2911588,M416,L-octar_fa,1.0,281442.6,377071.3,MIRAMAR,2U4GBNA0YmmJ-H6iM0jX_pq0Dl2LJSmxeii8Drob_3J0oFs3aLg9g6X2U3k-qaPY,1927,echozcy,2.0,278300.2,375987.7
2913211,Kar98k,daboy13,1.0,461876.3,323601.1,MIRAMAR,2U4GBNA0YmkpuBoVlPvLtiQWgcazRswwkhFjE-yFlj5JpCuUWAiRSxSZlCdt7WIo,1940,KOW_assist,2.0,455756.9,322655.4
2913769,Kar98k,SunshIne-boy6,1.0,377160.7,560700.8,MIRAMAR,2U4GBNA0YmkUUKCZEvXeZm8rWB38FylTQSQlN8kVbUZj-u81hlfn59mfXxPnrrmy,1872,564dfgrdgsd,2.0,374417.0,566957.4
2914982,M416,Macky993,1.0,210158.4,358242.6,MIRAMAR,2U4GBNA0YmmJRCV_S52iH_N4SzUeASVo-72AeMrHGW8mzPTnUJ1B50vIu6iMn1yh,1885,ToI3y_94,2.0,208550.4,357779.2
