,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
2910,M416,Battlefield-4,1.0,475007.6,467566.9,MIRAMAR,2U4GBNA0YmkvCmIao1jSik4oZSUnd8bzeMgA1H7GSnDkUaEJqNxb66ia2M1H60rJ,1878,xiaojunkai,2.0,476683.5,471632.5
4403,AKM,ChinaEasyKill,1.0,630838.3,436689.2,MIRAMAR,2U4GBNA0Ymk5zg3inVCasHGfBCqqK5ua4SpK2lrZRn20EhfQKDhwvXf1A2Eh07Ji,1966,HidexHoldings,2.0,631439.8,438525.1
4554,SCAR-L,JDXF-LaoM,1.0,199461.5,555778.0,MIRAMAR,2U4GBNA0Ymmc9iQSXPdXmsArOhTIR61JwcNH4n6Z2nEAsPYw5VWoAVcAEkqWJV2_,1786,Bangbangchick,2.0,206733.4,545583.6
5730,SKS,Nilookat,1.0,105357.2,380079.3,MIRAMAR,2U4GBNA0Ymnp7WwAto9g2slLUaiBKUFaPfS2cP7mxfvB4zSMybPXSCofOEAgrxRI,1807,AsTW,2.0,105530.5,373952.6
6294,AUG,Ghw-Kevin,1.0,367936.9,553730.7,MIRAMAR,2U4GBNA0YmkBdWOTl0viZyP9BZHq6-ofZRBEjZ_gLlyDDSM8jJks2pTrmSEPTq3U,1659,Tang3321,2.0,366349.9,555606.8
11336,AUG,BSS1991,1.0,697400.4,317278.3,MIRAMAR,2U4GBNA0YmnvNvisAv2vEWjvk5hQwUunTU-wwxsNuGnzJQUIChL9WS9l8HAPn6NL,1879,Soar-YE,2.0,696968.8,311846.0
12837,SCAR-L,Huadongyuwenle,1.0,361474.9,460795.4,MIRAMAR,2U4GBNA0YmlMBkU4uV1PHlE8qq8DQDypOsZ9C9D7iZlZuVQUzyyCjViX9fsnP5VL,1967,AaronTim,2.0,361532.8,460876.2
13177,SCAR-L,Tie_to_wa,1.0,480767.0,231588.3,MIRAMAR,2U4GBNA0YmnoW8afpHFqvydQuLzOCEJkMcGJZvC0XfmIBDrrmpXLRz8D_QsqTFmb,1907,R-moyer,2.0,481968.9,231387.9
15321,SCAR-L,Blue4Alex,1.0,505884.2,322328.4,MIRAMAR,2U4GBNA0Ymk_4UiIqG68gPliNVWi_u4FTGdQcPG1ZuSvNTDLtehGeppu9j1YVe1j,1864,joejak,2.0,508940.6,329225.7
20742,M416,perfactGG,1.0,268783.8,530967.0,MIRAMAR,2U4GBNA0Ymm9q3H4dUXJen_BrEj9F01YRQxGZuxvZ5Lz3-sSojZuy7UaCTQyxPjJ,1975,kmd1979,2.0,268743.6,530553.7
21952,M416,linlucI,1.0,371875.5,283201.5,MIRAMAR,2U4GBNA0YmlukFw3dvz1UO3PDgye5yyr136uPClyNsPwJ8Tz3XcUSUFleD_Ikmlt,1995,Leif93,2.0,371937.3,281208.8
25433,M416,BOSS-lmz,1.0,317380.1,350874.1,MIRAMAR,2U4GBNA0YmmSqhs1Q3P8z0A1AN20PzxJXPAzr5DXN_GgX4b_FQVr5L5YRB53lmcm,1961,uro87,2.0,318568.3,348232.6
25686,M416,Aldeabaran,1.0,482637.6,352024.9,MIRAMAR,2U4GBNA0YmnXB7lYRwlBRKqseeOTh_LDOoR5RVMEl28hyUrDrhgd21ps6Pa5tFiP,1993,caciqueNTC,2.0,483051.4,350607.9
29083,Grenade,LookLikeAPro,1.0,418568.7,406043.4,MIRAMAR,2U4GBNA0YmmF5cn3v9d4Hf4CI7Eamme3XS8bBtwDmdvrv64UWbhzyLJnqNU8CNn2,1900,858884111,2.0,411834.5,403222.7
33175,M24,DouYuXUEMM,1.0,465793.2,232008.8,MIRAMAR,2U4GBNA0YmlAwEW5XBwGt8MGtd5pDyQxQ51UHfTq1HqRLbOVpp4_jPU7AddJ746m,1744,XiaoSmoke,2.0,450423.6,241513.8
36801,M16A4,ZhanShen-BaiWan,1.0,431390.0,396984.1,MIRAMAR,2U4GBNA0Ymm_R-n03xS6mdSpV40eNsx4zLpYLECJUaYgIMINWO84dZspOnbniQEo,1922,nishizhu666,2.0,435133.2,396493.2
38287,SCAR-L,XxPigBenisxX,1.0,343476.4,502735.8,MIRAMAR,2U4GBNA0YmkhZgha2s5qZShmMWeh_CMpBnb8_2z_ZlxL6lsa1y2UF6FAfBHTxZcx,1974,XiaLinxuan,2.0,342148.3,503475.4
39552,Groza,Achyang,1.0,537454.1,526451.2,MIRAMAR,2U4GBNA0YmlcBGCkOepi_9efpb6LU-OAzTY85g6Skhiccuqtp--_4mwOlzj-V0Tx,2015,FDmercury,2.0,536239.5,526201.6
42065,M24,SJD-sixsix,1.0,421208.6,202239.8,MIRAMAR,2U4GBNA0YmmzHdZ_4vYxQxHXiKjfX9WiACDasGjj6DHiZwE0Kw7b8VrlvhHKCUeC,1853,wmvghajz,2.0,427479.9,201175.2
42528,Kar98k,bboulixia,1.0,165542.9,374274.3,MIRAMAR,2U4GBNA0YmmqUGx20QJm7lssZYIdf8DhPQ56FmyJDQx19TZF2Iev5Uah7PtWwyHI,1823,LicImIaiM,2.0,155717.6,378324.1
45241,AKM,JiChangGodhui,1.0,286979.2,633065.6,MIRAMAR,2U4GBNA0Ymmxn8yi51D7S3kbhX_O1bMFrMC4qYjLmkmjU7PcA_CHsn9SHfQ5D6W8,1839,xiaoxiaosds,2.0,295805.8,644954.8
45793,SCAR-L,QKdaye,1.0,242161.7,376921.9,MIRAMAR,2U4GBNA0Yml17xVKkBPYmlkDAnrzh70zG3kxZaTsA7rBhhyGFTVmss3yo2xl4cMl,1881,A_MovingBox,2.0,243540.2,375275.6
47300,M416,BigFuzzyArchon,1.0,328938.6,557324.4,MIRAMAR,2U4GBNA0Ymm5AQ2gjHMw8AbuYvNrPAqU3Kl2tXwhMYESSO_eLsJ1nDRR9IMPZNS5,1955,MidasWell,2.0,326183.3,561593.1
52394,SCAR-L,Manwei555,1.0,650315.8,512738.1,MIRAMAR,2U4GBNA0YmnDQiYKIN24JPdd6KAQbn1KrpK7AkNqyDMBbC-zVBP6FRVKHH4wElx5,1964,lk60665,2.0,654262.8,514378.3
54004,Kar98k,XL011026,1.0,504334.2,480994.2,MIRAMAR,2U4GBNA0YmnxFUyZSCapTOjTHcLr_NwPHxlRZF4c45WpOvjBKFoX_G3tJTaG67QE,1772,XIDIXIAOERMAPI,2.0,506789.1,480798.6
54130,SCAR-L,westbrook0314,1.0,424281.3,520414.9,MIRAMAR,2U4GBNA0Ymm58JorAEtjlNJMxUFV1pO18rHBTRHb0R19_Cc-TB_DWt9eq42CYG2Q,1901,CHandLERY,2.0,422644.2,517213.5
56137,Grenade,#unknown,1.0,135729.8,316383.1,MIRAMAR,2U4GBNA0YmnsSJ6XdGIkIAhTPf2tnwA6eg_8a78O8OP6kaD-ua8Gm6sr1jTsVSHO,1695,#unknown,2.0,133246.3,316080.2
56999,M416,MarkGospel,1.0,377061.6,93259.1,MIRAMAR,2U4GBNA0YmmEz9XSCd7PV0vcCjd7yCtNLCuAJeYvAZlQzwfi9dlYItU-U3IpoW1W,1848,PepperoniTIITS,2.0,376690.9,93972.16
58556,AKM,Ryoidenshi,1.0,550153.7,293830.4,MIRAMAR,2U4GBNA0YmlMIBFlcl4VHiwFfl638TraS1B7heHlKPyMxeuNG7Iao_fnSr2SA4sh,1835,ThepupilsKing,2.0,542443.4,287369.8
58888,M16A4,NatuWoLF,1.0,385382.2,556450.7,MIRAMAR,2U4GBNA0Ymm-sMpIntnpOGW8JTaBrhETPDd0TB03kZ174ClOTWzkTp7eSmUBS9C6,1960,zss-98k,2.0,388252.7,556290.8
61158,M416,speing1,1.0,517902.2,672546.4,MIRAMAR,2U4GBNA0YmmWzBiEf5GbPNSykl7t5nLkh1he1G5E_zYQkKirXad-9Iz1qKBGkUPL,1838,LMLM000,2.0,526921.0,673264.9
61868,M416,liGundam,1.0,312178.4,652260.6,MIRAMAR,2U4GBNA0Yml_r1hLsiOrVyx0gfxsY1hVUE8OiPgvLCvo18khlubKV_7cXpc6dcsC,1869,#unknown,2.0,313705.6,645868.9
61995,M416,Lufmi,1.0,555882.0,448452.2,MIRAMAR,2U4GBNA0Yml3qnUaYbojEEarDouRHhznyFn1PCdxnFHCPqJmBNxueK0DI8ZS2VzH,1824,dwdhwu,2.0,548316.4,449388.3
63161,M416,Durinax,1.0,652031.3,336344.2,MIRAMAR,2U4GBNA0Ymn_S4OxUFeHV3rtBjMy9LmKM-sbe_xHgzLM9bvuvT16T1f9gZQaGMvb,1891,Master_Ccc,2.0,652212.3,338054.4
63485,SCAR-L,NaVyChaN,1.0,244247.6,153320.8,MIRAMAR,2U4GBNA0YmkEH3su8ijcHhQ-icdnHS2CCmxFc-YXi7PsR4lCzhv98DMlHG0YGS5T,2178,JankJared,2.0,244097.1,153417.1
65652,AKM,TuckerG,1.0,221293.0,272156.5,MIRAMAR,2U4GBNA0Ymn1YRwb-6BG40gRIQtEb1hTs7Z2cCesScP8IDA5rlbyagnEyWbw5vzn,1783,omarc1to,2.0,218810.5,272904.8
69031,SCAR-L,ADADQEQE1,1.0,269724.8,508642.2,MIRAMAR,2U4GBNA0YmlJqBcjze1T-HR8ErUcW9WFAD91XXF8b849XS3oLzCE2ATqlwoRzgXC,1954,4N7395,2.0,266583.0,506232.5
71812,M416,JoeGHua,1.0,295357.5,434846.5,MIRAMAR,2U4GBNA0YmkH84ckMUgssHMx_F_kbpx3ENueRGw6ZYoEUAyQyPW6x7aNp7o75_oA,1845,mydlck1,2.0,294435.1,435610.3
71921,SCAR-L,Mkecn,1.0,580153.3,494971.8,MIRAMAR,2U4GBNA0YmlPEibmLWY9VdeZpmLJpnZaQ61n7XDBC73TD425NrbE8FxA6WvoO1-A,1842,Zhao1superan,2.0,585310.2,490846.5
73109,SCAR-L,safadfaf21,1.0,322138.0,561863.0,MIRAMAR,2U4GBNA0YmmeXhJiLIGrSeqZINletWGA9-WhOxrEFdgkhO-8K6Uzzyb94JxBKrJi,1952,WIC_cc,2.0,323281.2,560716.2
74799,Grenade,Lawrence_Guo,2.0,247266.6,310252.5,MIRAMAR,2U4GBNA0YmkfHZGFOomGVwS-V9OJrJaYOXcEXfXN01yToUlFDt-tO3sI4kGUDa-F,1893,Lawrence_Guo,2.0,247266.6,310252.5
76028,Grenade,aikuaifuwoyixia,1.0,362919.8,435091.3,MIRAMAR,2U4GBNA0Ymmmd4vDfNHeStS18Nbh1hjfWSqFHHANd41NnCehjVZdJdYQO1FxMTjy,1870,KOR_Lucky7,2.0,363350.5,435782.1
76505,SCAR-L,Arevqx,1.0,399315.1,488101.6,MIRAMAR,2U4GBNA0Yml--vDrLFcF6bXPAngwt_xhcCNOJPJiARsWd4kvy-11SVF4U73qAefH,1821,BKB-Cola,2.0,400837.2,491177.9
76754,Kar98k,manman0216,1.0,271468.4,454674.8,MIRAMAR,2U4GBNA0Ymk4XjcKrFvNVEYp68aa-MAew6b7gD1Tom7mes2N4twy95xYQ7iSl6JV,1793,mason0,2.0,278647.4,446090.2
77527,Mini 14,NoCopZone,1.0,543877.1,434012.9,MIRAMAR,2U4GBNA0Ymlv19TGIqIaX5cdlu0KW3-B2HIFbwfoS_8p3xAd5a3Ywc99zNrtp8BN,1780,luo421,2.0,528382.9,436862.5
87289,M416,Pumpkin_Eater69,1.0,81839.11,359148.8,MIRAMAR,2U4GBNA0YmkhwybFAZXZ5Ls_79pr7eYPos7ddCfHX7R3RQGrqem4gjhlMTyBO5TU,1777,jzswsldk,2.0,81895.35,363302.7
87966,M16A4,Braap,1.0,326420.8,196767.0,MIRAMAR,2U4GBNA0Ymkxig8cFtIRyxdOmvjVtzfHUdv_dToy93_7O0ftgOpvNxBc1dZbRuFW,1838,HUST-Gaming,2.0,321334.1,207128.5
88189,SCAR-L,lesysunshine2-25,1.0,550103.4,130273.7,MIRAMAR,2U4GBNA0Ymm04bSpMwIk36mg4mQvl3FOPUmhdiYKvjCiSIT-LZMT7ik09YQwPJOh,1963,ALUALUALU,2.0,553623.8,132559.0
89051,SCAR-L,CAPF6581,1.0,497973.8,183800.9,MIRAMAR,2U4GBNA0YmmW86S09aWSG7Sg9GU-DAPBtFhR8gRIDy8dUxVpfylF4cCPJaCw2h-J,1902,xXHighlanderXx,2.0,500770.3,187694.9
89286,M416,Teddyxxx,1.0,701672.3,378815.4,MIRAMAR,2U4GBNA0YmkFCmFuBJlKKHzFXkl3d_oJ1qZHOP3oSKbkblqw-SY7jd_mymaHyxd7,1930,billy2223,2.0,702731.8,377099.6
90102,SCAR-L,BabyRosan,1.0,392914.4,372795.2,MIRAMAR,2U4GBNA0Ymm8NwvlagtT8bTFKQBsrfZ7Fj9Tj0-VvBigQcIUB1S-Jg-hDyVx1lXT,1821,anheqiao11,2.0,403929.8,370199.4
95916,SCAR-L,JohnSunSe7ven,1.0,373865.2,305853.2,MIRAMAR,2U4GBNA0YmmhhdF-m-W0ON932iC-YaNFH2uvN8iMJdv88jjnZi6ADSH9U8hpv6IR,1987,Kpulser,2.0,373385.3,303901.8
98922,Kar98k,07110517,1.0,224582.5,392648.1,MIRAMAR,2U4GBNA0YmmdWlS_WxOdfjZS1fV1SSy4-4jqj0iTC-RGCkP-NaMhSoqV36-q70ES,1970,DAJB-GEINICHI,2.0,224191.9,396873.3
105429,UMP9,PowerArmorCat,1.0,264308.8,679700.4,MIRAMAR,2U4GBNA0YmmC95XHDR1HmfajTxue7ji_31Cz8yjlreeNIKlghyEjFh8SbqGKGXAy,1852,EightyDeuce,2.0,263146.8,681877.7
107626,M249,ccADCCarry,1.0,388820.9,184248.2,MIRAMAR,2U4GBNA0YmmFvJxiT1-5LZsKwfFRXRoeCvGHAs9CJgZ_a9C64G9FuzMVJdrDafGi,1918,Grippe,2.0,387353.9,184097.0
107848,SCAR-L,Kisorblade,1.0,456810.0,461754.9,MIRAMAR,2U4GBNA0YmmUP51FDWTi73uGWa27Z4ue8Dh4xwarHsQnV8itD_NdR-b0Xq0BvcxR,1836,Weigui557,2.0,454166.8,461536.6
109227,M16A4,thegreenTbagr,1.0,444298.1,483435.9,MIRAMAR,2U4GBNA0Ymk_wAhHXFnbWYK5EQPx8tUIgoCIQhnwjmfa8DZSOFJ42lGMIygg9e5A,1866,Brother_9,2.0,445131.2,480656.8
113809,M416,KunYeGanNi,1.0,346555.0,659321.4,MIRAMAR,2U4GBNA0Ymnj8sn1eJm4FQgBpK4fysQ5J0YQ7_-3Uo--oa6mVLwIPTIoy4dofxGU,1791,SMi1EFACE,2.0,342357.3,655722.8
114172,SCAR-L,baihuxiaomeimei,1.0,416814.5,613414.4,MIRAMAR,2U4GBNA0YmnigDVzDcS57X1Htx56WDkbxEOhwhbBeGfKb5U4OBlciDclkGkL9W72,1818,Kronk2,2.0,415971.2,614802.1
115287,SCAR-L,sixsixboom,1.0,362029.0,144921.8,MIRAMAR,2U4GBNA0Ymmh1bS4O1PVpqXaPwcho_UMQFHx0jdSVfWLTjzEUSm3OMyZyNED9E9v,1930,LiaoDingTian,2.0,359216.9,142053.3
116783,M16A4,DaiNz_,1.0,364064.8,239559.7,MIRAMAR,2U4GBNA0Ymkmwin8mtT_WmqqCeaNScKX5g-OFPrunEwlHXEfZqvKHtfw2w7P4FaY,1876,Chinaxinsui,2.0,364205.1,232152.3
120679,SKS,DSYE,1.0,547097.6,324216.4,MIRAMAR,2U4GBNA0Ymmv2ZuGRie35uaYsb8_WElgZTl3fXRYqWhBQC2vvJXxyxi2N9j9YA7D,1812,elktree,2.0,548614.4,318455.1
121442,M416,LordBionic,1.0,477469.3,278170.2,MIRAMAR,2U4GBNA0YmnN7qgw8z2XhziY1axykRxj_2hbgVefclevLFzqVgCsVHOrHQzGD2T-,1931,Woll07,2.0,476355.0,282929.6
124509,SCAR-L,W-dooz,1.0,162883.7,687873.8,MIRAMAR,2U4GBNA0YmlI3EuIWkRzJLWW0kuEZ0Lpr4kPAs-dUJvxWG0J1LbboOF3RJDH1gmp,1873,F_F_Chopin,2.0,165053.3,688786.4
125000,Grenade,P1103cC,1.0,257340.2,521634.6,MIRAMAR,2U4GBNA0Ymkl8aaEWrhhzCPraj8z6bySuO_vzXZs7-w29V0iD_6FjajXbi1Aca7O,1999,573084334,2.0,260612.6,521254.6
126656,SCAR-L,479167146,1.0,413399.3,214938.5,MIRAMAR,2U4GBNA0YmkIzdBRjTPeddSAb0tQukNUkZ_fLz1HjIyLttOgm6Hg2yD10WWszQAP,1881,NanTongzaizai,2.0,410260.4,210179.8
132453,SCAR-L,dissZid,1.0,365902.6,413742.7,MIRAMAR,2U4GBNA0YmkiZt9nmFN8aNn9MosNCh2eavqRIUurE0tSENQU89q5KLOdXa3FrBUh,1969,Kawan_Susah,2.0,365612.1,415015.8
140458,SCAR-L,FCBMOYO,1.0,398697.3,156625.0,MIRAMAR,2U4GBNA0YmmFIEZWTji8fu93JX1gNRnMx_O1RIgv_81Mm92Cyns_-ksy1FNJBWH6,1872,Brianchavez2299,2.0,395295.1,147828.9
144132,SCAR-L,IGwestbrook,1.0,564417.4,561621.0,MIRAMAR,2U4GBNA0YmkqRFFD6Vu4FEz8ivG7_T8ZpG5Hg-BLYHUA7YIwLLmJR53-EHnbAkoA,1888,StaticSheep,2.0,567290.6,556512.9
144375,M249,TheMoistGirth,1.0,665998.9,348950.2,MIRAMAR,2U4GBNA0Ymmn6gWC-CnwooSKBABxgX7YZ1E0RfeuwEtVMDnY83h18MjG0JxS8Ats,1896,xinchengzh009,2.0,665963.1,348351.5
146858,SCAR-L,YTGhile_Suit,1.0,568375.9,515969.6,MIRAMAR,2U4GBNA0YmmmhyuorI-gYfS1Q2jULsMsGJKOEmNyDqPIiEva4IS5BfvzEMnLMfhO,1837,GioCro,2.0,567551.6,516486.7
148637,SKS,Holland-Lop,1.0,249711.7,375543.4,MIRAMAR,2U4GBNA0YmlcTfrnCs7L8e9gM75OlgpQYDB3YC2daTBWisHPbMD4klohE46B6gn7,1892,MmTt720s,2.0,244433.5,378624.8
149139,UMP9,Dirk-The-Daring,1.0,460856.1,584549.6,MIRAMAR,2U4GBNA0YmkopWUulpSghKryjxDcfGUtI8YLNBDJsZX0MCz_BkeCVeZGSutS8-au,1942,Kombatkreg,2.0,459624.8,583866.9
155592,M416,coolduck007,1.0,173086.6,455287.8,MIRAMAR,2U4GBNA0Ymkh2FPqq_hshwBjT4zO-R8fw9QyE5XCkaGne5_bSzRaeg3ToUx6XP5M,1808,minimaL1,2.0,173127.4,456152.5
160329,Kar98k,Iluvatar,1.0,541811.4,395096.8,MIRAMAR,2U4GBNA0YmmGe63_56BTjg2z1-91ZT34lYrMv2FXtKmvPkHSUL73MmNRKZiHqrs2,1817,Lv100Latias,2.0,532807.8,393174.7
161981,M416,Kriswu8,1.0,201838.9,568468.8,MIRAMAR,2U4GBNA0Yml6VXDXaUzE3xJ9Eeu6CdhMxoV-4RP7ISe-zwAnix9rNucQ3UUFTvu-,1905,Zonnee,2.0,203519.7,564982.9
162395,SCAR-L,wanglinzhiwoaini,1.0,546182.8,342992.4,MIRAMAR,2U4GBNA0YmmKiyuEIu4hA4aCCnzvbPZNZ-jp49KSAwlwBaW-46L4urRYGNf7yyjy,1880,yuerjun888,2.0,546805.6,340900.1
164532,AKM,QUN_124871801,1.0,321279.4,576584.6,MIRAMAR,2U4GBNA0YmlDCdPsscodi7QNnP5NzCxjOxsY91SiFRB9HxqQCz9t-nlR-1XYt94N,1926,Sarkis_20032,2.0,321536.8,579767.4
164956,Groza,VulcanRod7,1.0,498371.3,575139.2,MIRAMAR,2U4GBNA0YmmmuZz_Z6g_tFaTjm5ObE_12NTGrJPvT-PhGp1MLhrcdtkN75kHPv2C,1882,CrazyTurtIe,2.0,496350.8,577235.3
165113,M416,simon506,1.0,406704.5,398035.3,MIRAMAR,2U4GBNA0Ymmz8NqmEwaz_Yg-vLGcRXW-r9Lj4-plgdR0rCZUx6NGzluwkIocc2QG,1875,Extreme_yu,2.0,398853.2,393661.0
165562,M416,shuaige12,1.0,197662.8,390890.2,MIRAMAR,2U4GBNA0YmnoWXmBb_dyItKf3oWbuSX1xgOIRh3Vc_jT0tBXNV7bToy8cowKW92i,2006,eryuehongsama,2.0,197594.7,391470.3
167144,SCAR-L,ImortanJohn,1.0,422867.4,319191.8,MIRAMAR,2U4GBNA0YmnnT5cYzpAMPKdU7OiNwbMWHrFc7RtA27XuNQsb8wAkOVuBVl7xgVaD,1953,ShX11,2.0,425452.2,314471.3
167422,UMP9,EDG-LYB,1.0,189629.4,204865.8,MIRAMAR,2U4GBNA0YmmbXwEMUIVkuhW3harYIERRI4Cr8dCSQCON45hMYVy1qIX5Q8G0Yxji,1869,Yung_Wun,2.0,186672.4,202606.3
171499,SCAR-L,A-laohei,1.0,527325.7,640409.1,MIRAMAR,2U4GBNA0YmkP0trcAPhrjNv5vgYkdJw83RYgaXuJKVttInW6U-d6ulNQGrPyD3fo,1867,revenorz,2.0,526707.5,639057.6
172653,M416,Mooo_k,1.0,546317.6,190972.5,MIRAMAR,2U4GBNA0Ymk-bkA2tTDjG0V8ov_-RuGDURZofGnBf4owlaOJ3-TPKbcrfm4Fes8R,1935,XXOO_AK,2.0,545575.9,190202.5
176660,Kar98k,tpkta,1.0,262422.4,489275.3,MIRAMAR,2U4GBNA0YmkkmEEJ9NJPFaPxdN3ISLsnmnuTSw2RLw_GYbfowB4uip5jz_jlnGgd,1889,JiuQuanTV_YeSe,2.0,258786.1,494910.2
182843,SCAR-L,Liuy111,1.0,395344.6,445097.8,MIRAMAR,2U4GBNA0YmkfN_RtKpcio2TI312hR8O-AfQan8UuVTnJyQ4BlUii5rhiGsw6bUnk,1871,dashenk,2.0,395925.6,444096.1
185897,M416,Autistic_Y,1.0,251083.0,300135.5,MIRAMAR,2U4GBNA0YmlXDyWITWRu67rvjfUl0CN-DLfGWzd1OApPXBb3ooQ-YOmcX4fKS6hU,1763,Ty-J551C,2.0,253671.8,305710.8
186307,SCAR-L,Nokva11,1.0,532428.8,519072.7,MIRAMAR,2U4GBNA0YmlsFSF239V5MzxoTCin4kDBL18nrQfZxLsDXVY9eUOQxLyE4UHZV4Wy,1904,nightmare_88,2.0,531214.3,518431.1
186380,M416,4Am_Goodv_zz,1.0,67681.27,332570.8,MIRAMAR,2U4GBNA0Ymlhj2hjN5OzNbx_22ZzuOdkUbyymga60N9-nPlkmfgxosPElxSgyRPb,1882,JonnSnoww,2.0,67348.5,327519.9
187708,Grenade,cajloaf123456,1.0,343671.2,533646.4,MIRAMAR,2U4GBNA0YmmWqG4gl8UiQcSskFcBwtKaK-x6ISu5SUvoD4vUeT4HN6KS7Ny39Veg,1905,qunwudi,2.0,338270.2,536258.3
192754,SCAR-L,baby21xh,1.0,262079.9,368853.2,MIRAMAR,2U4GBNA0Ymm6uxL2UM58lMwFqaKaluvuIOOW5cLxYQwQgHV6_wl4YWKMEO840M1G,1831,ItsTankTank,2.0,259120.0,370158.2
193691,AKM,Prisme13,1.0,339315.6,413554.2,MIRAMAR,2U4GBNA0YmnAoqijQ14mYYPYuU3fFcNOB_BhxAgZs3eObiUWURBesvfN2iSgblxu,1850,TanWei-,2.0,340157.8,413857.8
194014,Kar98k,VVnzDavid,1.0,425485.6,253932.4,MIRAMAR,2U4GBNA0YmleB9Auo9RcKE9uGa_jSHiAZ7tA3HdgEVW8oCGZx-5XK4wWE3Jlx_fQ,1812,kimiT_T,2.0,421059.4,251279.6
196432,M416,blhzm,1.0,396582.6,645768.3,MIRAMAR,2U4GBNA0Yml9GynPiKWBdvZluh9bg_EEk4qjjNNCTJeQA6txEVBAcR7GqXxoD6_G,1795,Capt9inl0086,2.0,396187.2,646756.0
204451,M416,BOX_one1,1.0,593689.7,498689.1,MIRAMAR,2U4GBNA0YmkBY0r7vDmTn_zyxrC8bUHb_3XCLTPwI8wkqSxE7xAWyS-5G4nQ9LFi,1862,C-BANANA,2.0,591572.4,498223.9
206295,M416,zytxiaoyaojing,1.0,376467.8,227197.0,MIRAMAR,2U4GBNA0YmlZSuBnmuyy9RH9KolbAjPHB54qiFOmYuzHObbkMDy3ZUk8ilJkXUtx,1860,19991108,2.0,382841.8,232740.3
206406,M416,fengaitao,1.0,296624.7,511094.5,MIRAMAR,2U4GBNA0Ymm5q2SJ__Nr-TZi9Eer2CPx_tIUiIDHWd7g_WFamIaxzbJlOPApbg4n,1937,SorrowDeathless,2.0,297026.6,511278.9
207759,M416,Ulysse-Nardin,1.0,284857.7,384535.6,MIRAMAR,2U4GBNA0YmmqnDPYKnCTWxYXS6GYxGZ4zlL4NSUk380p_Df81dBC9LvOvGldea6S,1860,Dedge_,2.0,284421.1,384950.7
215774,M416,n1cl,1.0,590578.2,337116.4,MIRAMAR,2U4GBNA0Ymn6zLcsUAwqOdkYjxbw6QkoQjQsWar82yBWqZGSg-TA4tlxTypmd0ef,1574,Anglelongshao,2.0,590144.4,343447.0
217408,Mini 14,ArmutTvTwitch,1.0,519371.8,298381.3,MIRAMAR,2U4GBNA0YmnCcQ_Jro2x5HN8yXHYpJEunCVtpa8uSWSf-eF5tCBJdJau_sxfEu4K,1870,AIGod87,2.0,514761.2,302504.1
221470,Kar98k,ahu1104,1.0,506847.2,467820.9,MIRAMAR,2U4GBNA0YmkUCiA42aDKi7n8-6TyuWwpBNJWyZwZpOAdjTJ_QVzgT1eQAts5ZfPQ,1825,nideerdaye,2.0,501594.9,463580.6
222377,M416,nihaile888,1.0,394682.2,195593.6,MIRAMAR,2U4GBNA0YmkMSf2t3SfYZnK-5ayNoCJU1JduSUeFS_L6kNHQCEGqSu9BEPS-5_sC,1781,BOSSJAKA,2.0,403861.2,188606.5
228425,M416,RazerMars,1.0,458621.2,504272.2,MIRAMAR,2U4GBNA0YmmgNIu9gVVJBUJFizkqYPrHzMkSbGmtcm8SsnvZdjKjq6K_sO_zR6X4,1854,wlf-wlf,2.0,463916.5,498337.8
232525,SCAR-L,Senlony,1.0,587063.9,591196.8,MIRAMAR,2U4GBNA0YmkrRmozdsk30XSScHFakH3IIhDaoXJbrw8aZaI6xznAtN1BrYIjMP8i,1957,Datbip1994,2.0,588860.3,594891.6
233296,Grenade,jiage945,1.0,329262.1,386057.8,MIRAMAR,2U4GBNA0YmkIeknnVwDdZFWMTaxdwOB-8UpWSsM-U0FizgxuNTR_NcCltVjF_3rd,1960,G_Toast,2.0,333054.2,388374.6
233839,SCAR-L,Royal_7000,1.0,501525.9,510226.8,MIRAMAR,2U4GBNA0Ymknf01yrpqmDXDeOc6KY2Hisrrxb6JnfDNOPTlf0cdRSK76HjDikTlh,1834,whiteNBzZ,2.0,506311.3,510423.4
238560,SCAR-L,ScccccE,1.0,624010.9,281277.5,MIRAMAR,2U4GBNA0YmngngToKI8SlD2LwCVqm7B7dpO5ScOxQ_LFNE-EQadS-T8AEUKXQBUr,1894,Ladykiller-1,2.0,623645.9,279845.6
239039,M416,XxxQ1,1.0,254492.7,347199.1,MIRAMAR,2U4GBNA0YmnX6cuk4m1MAi9oQbq6nesghn9Kj83XjAQfRb0VJa1Xv_3pAwkJw7Ms,1781,Codeyerx,2.0,256681.7,355898.8
241389,SCAR-L,c1145590155,1.0,428730.9,531143.6,MIRAMAR,2U4GBNA0YmlE6-oBxOE5LSWfejXeJgY2W2KAJ4bcrHJBTGT7NjGdlnUMEAE3Pa3t,1984,Tiger900,2.0,429474.6,531034.9
242009,SCAR-L,saozidenaiyoudu,1.0,395420.3,333267.3,MIRAMAR,2U4GBNA0Yml80piOovIzDOvR5gamq5pN1pp0Ega9x7FVep6p8qZTTC9tgX0Rzzl1,1872,ganzichen521101,2.0,398208.2,334294.3
